Region,Badge Name,Description,Technical Logic (Riot Match-V5)
Bandle City,David vs Goliath,You survived on a prayer and 5% health while taking down 3 enemies. Peak yordle energy.,onKill where victim.kill occurs while player.current_hp / player.max_hp < 0.05.
Bandle City,Small But Mighty,You dealt the most damage on your team despite having the lowest total health pool.,Final stats: totalDamageDealt == max(team) AND max_hp == min(team).
Bandle City,The Mayor’s Decree,You had the highest Vision Score and most Assists on your team. You run this town.,Final stats: visionScore == max(team) AND assists == max(team).
Noxus,The Blood-Crowned,One Pentakill is a fluke; two in one game is a war crime. Welcome to the high command.,multikill >= 5 count in metadata. Trigger if count == 2.
Noxus,Iron Will,You secured 3+ kills while being outnumbered (1v2 or 1v3) in the immediate area.,onKill where enemy_count_in_1000_range > ally_count_in_1000_range. Trigger on count >= 3.
Noxus,Total Annexation,You participated in every single turret destruction on the map. The empire's borders only move forward.,turret_kill_participation (killer or assist) count matches total_enemy_turrets_destroyed.
Demacia,The Unyielding Aegis,You were present for every single Epic Monster kill. A true vanguard never misses an objective.,participation_rate on elite_monster_kills (Dragon/Baron/Herald) == 1.0.
Demacia,Hittin' a Wall,"You mitigated 50,000+ damage during the match. They broke their swords against your resolve.","Final stats check: damageSelfMitigated + totalDamageTaken >= 50,000."
Demacia,For the King,You were the first person to deal damage in 5 separate teamfight kills. You lead the charge.,"For onKill events, check damage_log. Trigger if player has the earliest timestamp of all assisters."
Bilgewater,King of the Docks,You finished with the highest gold count in the lobby. Everyone else is just a stowaway.,Final stats check: totalGoldEarned == max(all_10_players_gold).
Bilgewater,Sea Monster's Tithe,"You stole Baron while your entire team was dead. High stakes, higher reward.",elite_monster_kill by player while team_alive_count == 1.
Bilgewater,Treasure Map Locator,"You reached 4,000 gold by the 10:00 mark. You’ve got a nose for the ""shiny"" stuff.",Query timeline.frames[10]. Sum totalGold (passive + active income) >= 4000.
Freljord,The Unbroken Will,"You won after being down 10,000 gold. The ice doesn't break, and neither do you.",Timeline check: enemy_team_gold - team_gold >= 10000 at any frame + win == true.
Freljord,Where Are You Going?,100+ CC score and 15+ assists. You turned the enemy team into living statues.,Final stats check: timeCCingOthers >= 100 AND assists >= 15.
Freljord,Heart of the Ram,"You mitigated 10,000 damage in a single 20-second fight. You are the mountain.","Sum damageSelfMitigated within a sliding 20000ms window. Trigger if >= 10,000."
Ionia,The Spirit's Balance,100% Kill Participation. You were the heartbeat of every single fight on the map.,Final Stats: (kills + assists) / team_total_kills == 1.0.
Ionia,Dance of the First Lands,You hit all 5 enemies with a single Ultimate. A perfect symphony of destruction.,onAbilityHit where spell_slot == R and unique_targets_hit == 5.
Ionia,Death by a Thousand Petals,You secured 3 kills in a row where each kill was dealt by a different ability.,"Track killing_blow_source. Trigger if kill_1, kill_2, and kill_3 use 3 unique spell_ids."
Piltover,Hextech Perfection,0 deaths and 10+ CS per minute. Efficiency that would make Camille blush.,deaths == 0 AND (totalMinionsKilled / (gameDuration / 60)) >= 10.0.
Piltover,Clockwork Multiplier,You secured a Triple Kill or higher using only your auto-attacks. No mana wasted.,multikill >= 3 where damage_source_type for all killing blows is BASIC_ATTACK.
Piltover,Piltovan Sniper,"You secured a kill from over 2,000 units away. Distance is just another variable.","onKill where distance(killer_coords, victim_coords) >= 2000."
